id,type,source,model,fuel_type,co2e_kg
0,Personenfernverkehrszug,UBA,tremod,average,0.0329
1,Personenfernverkehrszug,UBA,tremod,diesel,0.0698
2,Personenfernverkehrszug,UBA,tremod,electric,0.032
