,category,subcategory,type,size class,occupancy (percent),capacity,range,fuel type,country,region,note,co2e unit,co2e emission factor,source,source link,example image path
74,Car,,Car,,,,,Hydrogen decentralized electrolysis mix France,France,continental France,published 2021,kg/km,0.081,ADEME,https://data.ademe.fr/datasets/base-carbone%28r%29,
75,Car,,Car,Compact vehicle (segment C),,,,Electric,France,continental France,published 2020,kg/km,0.103,IFPEN,https://data.ademe.fr/datasets/base-carbone%28r%29,
76,Car,,Car,Compact vehicle (segment C),,,,Plug in-hybrid - P2/prius,France,continental France,published 2020,kg/km,0.0733,IFPEN,https://data.ademe.fr/datasets/base-carbone%28r%29,
77,Car,,Car,Compact vehicle (segment C),,,,Full hybrid Prius,France,continental France,published 2020,kg/km,0.147,IFPEN,https://data.ademe.fr/datasets/base-carbone%28r%29,
78,Car,,Car,Compact vehicle (segment C),,,,Mild Hybrid fuel (diesel),France,continental France,published 2020,kg/km,0.217,IFPEN,https://data.ademe.fr/datasets/base-carbone%28r%29,
79,Car,,Car,Compact vehicle (segment C),,,,Mild Hybrid fuel (gasoline),France,continental France,published 2020,kg/km,0.232,IFPEN,https://data.ademe.fr/datasets/base-carbone%28r%29,
80,Car,,Car,Light vehicle (Segment A),,,,Electric,France,continental France,published 2020,kg/km,0.0953,IFPEN,https://data.ademe.fr/datasets/base-carbone%28r%29,
81,Car,,Car,Light vehicle (Segment A),,,,Plug-in hybrid with auxiliary power unit,France,continental France,published 2020,kg/km,0.0718,IFPEN,https://data.ademe.fr/datasets/base-carbone%28r%29,
82,Car,,Car,Light vehicle (Segment A),,,,Mild Hybrid fuel,France,continental France,published 2020,kg/km,0.171,IFPEN,https://data.ademe.fr/datasets/base-carbone%28r%29,
83,Car,,Car,Sedan car,,,,Electric,France,continental France,published 2020,kg/km,0.139,IFPEN,https://data.ademe.fr/datasets/base-carbone%28r%29,
84,Car,,Car,Sedan car,,,,Plug in-hybrid - P2/prius,France,continental France,published 2020,kg/km,0.102,IFPEN,https://data.ademe.fr/datasets/base-carbone%28r%29,
85,Car,,Car,Sedan car,,,,Full hybrid P2,France,continental France,published 2020,kg/km,0.255,IFPEN,https://data.ademe.fr/datasets/base-carbone%28r%29,
86,Car,,Car,Sedan car,,,,Mild Hybrid fuel (diesel),France,continental France,published 2020,kg/km,0.277,IFPEN,https://data.ademe.fr/datasets/base-carbone%28r%29,
87,Car,,Car,Sedan car,,,,Mild Hybrid fuel (gasoline),France,continental France,published 2020,kg/km,0.348,IFPEN,https://data.ademe.fr/datasets/base-carbone%28r%29,
88,Car,,Car,average,,,,gasoline,Spain,,valid for 2021,kg/l,2.25,Ministerio para la transición ecológica y el retro demográfico,https://www.miteco.gob.es/es/cambio-climatico/temas/mitigacion-politicas-y-medidas/factoresemision_tcm30-479095.pdf,
89,Car,,Car,average,,,,E10,Spain,,valid for 2021,kg/l,2.132,Ministerio para la transición ecológica y el retro demográfico,https://www.miteco.gob.es/es/cambio-climatico/temas/mitigacion-politicas-y-medidas/factoresemision_tcm30-479095.pdf,
90,Car,,Car,average,,,,E85,Spain,,valid for 2021,kg/l,0.372,Ministerio para la transición ecológica y el retro demográfico,https://www.miteco.gob.es/es/cambio-climatico/temas/mitigacion-politicas-y-medidas/factoresemision_tcm30-479095.pdf,
91,Car,,Car,average,,,,diesel,Spain,,valid for 2021,kg/l,2.52,Ministerio para la transición ecológica y el retro demográfico,https://www.miteco.gob.es/es/cambio-climatico/temas/mitigacion-politicas-y-medidas/factoresemision_tcm30-479095.pdf,
92,Car,,Car,average,,,,liquefied petroleum gas,Spain,,valid for 2021,kg/l,1.747,Ministerio para la transición ecológica y el retro demográfico,https://www.miteco.gob.es/es/cambio-climatico/temas/mitigacion-politicas-y-medidas/factoresemision_tcm30-479095.pdf,
93,Telecabine,,,,,,,,France,continental France,published 2014 (may be outdated),kg/passenger.km,0.0295,Historique Bilan Carbone ,https://data.ademe.fr/datasets/base-carbone%28r%29,
