Spalte1,type,sub-type,country,region,units,co2e,source,source link,note,info
141,District heating,,France,Auvergne/ Montluçon,kgCO2e/kWh,0.142,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
142,District heating,,France,Auvergne/ Moulins,kgCO2e/kWh,0.027,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
143,District heating,,France,Languedoc-Roussillon/ Ales,kgCO2e/kWh,0.08,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
144,District heating,,France,Languedoc-Roussillon/ Lamelouze,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
145,District heating,,France,Languedoc-Roussillon/ Nîmes,kgCO2e/kWh,0.1,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
146,District heating,,France,Midi-Pyrénées/ Ayguevives,kgCO2e/kWh,0.077,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
147,District heating,,France,Midi-Pyrénées/ Balma,kgCO2e/kWh,0.083,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
148,District heating,,France,Midi-Pyrénées/ Blagnac,kgCO2e/kWh,0.122,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
149,District heating,,France,Midi-Pyrénées/ Toulouse,kgCO2e/kWh,0.017,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
150,District heating,,France,Midi-Pyrénées/ Toulouse,kgCO2e/kWh,0.324,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
151,District heating,,France,Midi-Pyrénées/ Toulouse,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
152,District heating,,France,Midi-Pyrénées/ Toulouse,kgCO2e/kWh,0.2,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
153,District heating,,France,Aquitaine/ Bègles,kgCO2e/kWh,0.11,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
154,District heating,,France,Aquitaine/ Bordeaux,kgCO2e/kWh,0.029,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
155,District heating,,France,Aquitaine/ Bordeaux,kgCO2e/kWh,0.285,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
156,District heating,,France,Aquitaine/ Bordeaux,kgCO2e/kWh,0.185,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
157,District heating,,France,Aquitaine/ Bordeaux,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
158,District heating,,France,Aquitaine/ Cenon,kgCO2e/kWh,0.048,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
159,District heating,,France,Aquitaine/ Gironde-sur-Dropt,kgCO2e/kWh,0.06,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
160,District heating,,France,Aquitaine/ La Réole,kgCO2e/kWh,5.00E-03,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
161,District heating,,France,Aquitaine/ Le Barp,kgCO2e/kWh,0.228,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
162,District heating,,France,Aquitaine/ Lesparre-Médoc,kgCO2e/kWh,0.056,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
163,District heating,,France,Aquitaine/ Lormont,kgCO2e/kWh,0.055,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
164,District heating,,France,Aquitaine/ Mérignac,kgCO2e/kWh,0.208,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
165,District heating,,France,Aquitaine/ Pellegrue,kgCO2e/kWh,0.031,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
166,District heating,,France,Aquitaine/ Saint-Pierre-d’Aurillac,kgCO2e/kWh,0.021,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
167,District heating,,France,Languedoc-Roussillon/ Juvignac,kgCO2e/kWh,0.079,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
168,District heating,,France,Languedoc-Roussillon/ Montpellier,kgCO2e/kWh,0.031,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
169,District heating,,France,Languedoc-Roussillon/ Montpellier,kgCO2e/kWh,0.086,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
170,District heating,,France,Bretagne/ Combourg,kgCO2e/kWh,0.054,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
171,District heating,,France,Bretagne/ Janzé,kgCO2e/kWh,0.02,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
172,District heating,,France,Bretagne/ Rennes,kgCO2e/kWh,0.196,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
173,District heating,,France,Bretagne/ Rennes,kgCO2e/kWh,0.093,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
174,District heating,,France,Bretagne/ Rennes,kgCO2e/kWh,0.021,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
175,District heating,,France,Bretagne/ Rennes,kgCO2e/kWh,1.00E-03,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
176,District heating,,France,Bretagne/ Rennes,kgCO2e/kWh,0.215,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
177,District heating,,France,Bretagne/ Vezin le Coquet,kgCO2e/kWh,0.035,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
178,District heating,,France,Bretagne/ Vitré,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
179,District heating,,France,Centre/ Joué-les-Tours,kgCO2e/kWh,0.22,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
180,District heating,,France,Centre/ La Riche,kgCO2e/kWh,0.238,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
181,District heating,,France,Centre/ Saint-Benoît-la-Forêt,kgCO2e/kWh,5.00E-03,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
182,District heating,,France,Centre/ Saint-Pierre-des-Corps,kgCO2e/kWh,0.232,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
183,District heating,,France,Centre/ Tours,kgCO2e/kWh,0.192,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
184,District heating,,France,Centre/ Tours,kgCO2e/kWh,0.071,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
185,District heating,,France,Rhône-Alpes/ Allevard,kgCO2e/kWh,0.02,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
186,District heating,,France,Rhône-Alpes/ Bourgoin Jailleu,kgCO2e/kWh,0.034,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
187,District heating,,France,Rhône-Alpes/ Coublevie,kgCO2e/kWh,0.056,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
188,District heating,,France,Rhône-Alpes/ Grenoble,kgCO2e/kWh,0.141,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
189,District heating,,France,Rhône-Alpes/ Lans-en-Vercors,kgCO2e/kWh,0.013,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
190,District heating,,France,Rhône-Alpes/ Mens,kgCO2e/kWh,0.066,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
191,District heating,,France,Rhône-Alpes/ Monestier-de-Clermont,kgCO2e/kWh,0.024,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
192,District heating,,France,Rhône-Alpes/ Pontcharra,kgCO2e/kWh,0.061,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
193,District heating,,France,Rhône-Alpes/ Saint-Marcellin,kgCO2e/kWh,0.027,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
194,District heating,,France,Rhône-Alpes/ Villars-de-Lans,kgCO2e/kWh,0.023,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
195,District heating,,France,Rhône-Alpes/ Vinay,kgCO2e/kWh,0.048,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
196,District heating,,France,Rhône-Alpes/ Voreppe,kgCO2e/kWh,0.042,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
197,District heating,,France,Franche-Comté/ Arinthod,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
198,District heating,,France,Franche-Comté/ Avignon-Les-Saint-Claude,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
199,District heating,,France,Franche-Comté/ Champvans,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
200,District heating,,France,Franche-Comté/ Dole,kgCO2e/kWh,0.109,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
201,District heating,,France,Franche-Comté/ Hauts de Bienne,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
202,District heating,,France,Franche-Comté/ Lons-le-Saunier,kgCO2e/kWh,0.082,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
203,District heating,,France,Franche-Comté/ Moirans-en-Montagne,kgCO2e/kWh,0.118,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
204,District heating,,France,Provence-Alpes-Côte d'Azur/ Allos,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
205,District heating,,France,Provence-Alpes-Côte d'Azur/ Barcelonnette,kgCO2e/kWh,0.048,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
206,District heating,,France,Provence-Alpes-Côte d'Azur/ Forcalquier,kgCO2e/kWh,9.00E-03,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
207,District heating,,France,Provence-Alpes-Côte d'Azur/ Manosque,kgCO2e/kWh,0.048,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
208,District heating,,France,Aquitaine/ Mont-de-Marsan,kgCO2e/kWh,0.018,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
209,District heating,,France,Aquitaine/ Mont-de-Marsan,kgCO2e/kWh,0.095,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
210,District heating,,France,Centre/ Blois,kgCO2e/kWh,0.022,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
211,District heating,,France,Centre/ Mondoubleau,kgCO2e/kWh,0.116,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
212,District heating,,France,Centre/ Vineuil,kgCO2e/kWh,0.056,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
213,District heating,,France,Rhône-Alpes/ Andrézieux-Bouthéon,kgCO2e/kWh,0.077,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
214,District heating,,France,Rhône-Alpes/ Colombier,kgCO2e/kWh,0.032,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
215,District heating,,France,Rhône-Alpes/ Firminy,kgCO2e/kWh,0.116,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
216,District heating,,France,Rhône-Alpes/ Jonzieux,kgCO2e/kWh,0.075,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
217,District heating,,France,Rhône-Alpes/ La Terrasse-sur-Dorlay,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
218,District heating,,France,Rhône-Alpes/ Le Bessat,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
219,District heating,,France,Rhône-Alpes/ Marlhes,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
220,District heating,,France,Rhône-Alpes/ Montrond-les-Bains,kgCO2e/kWh,0.066,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
221,District heating,,France,Rhône-Alpes/ Neulise,kgCO2e/kWh,0.017,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
222,District heating,,France,Rhône-Alpes/ Pelussin,kgCO2e/kWh,0.071,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
223,District heating,,France,Rhône-Alpes/ Pelussin,kgCO2e/kWh,0.046,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
224,District heating,,France,Rhône-Alpes/ Pelussin,kgCO2e/kWh,0.025,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
225,District heating,,France,Rhône-Alpes/ Planfoy,kgCO2e/kWh,0.014,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
226,District heating,,France,Rhône-Alpes/ Roanne,kgCO2e/kWh,0.072,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
227,District heating,,France,Rhône-Alpes/ Roanne,kgCO2e/kWh,0.088,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
228,District heating,,France,Rhône-Alpes/ Roanne,kgCO2e/kWh,0.233,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
229,District heating,,France,Rhône-Alpes/ Roche,kgCO2e/kWh,1.00E-02,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
230,District heating,,France,Rhône-Alpes/ Roisey,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
231,District heating,,France,Rhône-Alpes/ Saint Etienne,kgCO2e/kWh,0.081,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
232,District heating,,France,Rhône-Alpes/ Saint-Bonnet-le-Château,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
233,District heating,,France,Rhône-Alpes/ Saint-Bonnet-le-Courreau,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
234,District heating,,France,Rhône-Alpes/ Saint-Chamond,kgCO2e/kWh,0.049,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
235,District heating,,France,Rhône-Alpes/ Saint-Christo-en-Jarez,kgCO2e/kWh,0.152,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
236,District heating,,France,Rhône-Alpes/ Saint-Cyr-de-Favières,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
237,District heating,,France,Rhône-Alpes/ Saint-Didier-sur-Rochefort,kgCO2e/kWh,5.00E-03,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
238,District heating,,France,Rhône-Alpes/ Saint-Étienne,kgCO2e/kWh,0.275,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
239,District heating,,France,Rhône-Alpes/ Saint-Étienne,kgCO2e/kWh,0.196,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
240,District heating,,France,Rhône-Alpes/ Saint-Étienne,kgCO2e/kWh,0.055,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
241,District heating,,France,Rhône-Alpes/ Saint-Étienne,kgCO2e/kWh,0.227,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
242,District heating,,France,Rhône-Alpes/ Saint-Haon-le-Châtel,kgCO2e/kWh,0.025,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
243,District heating,,France,Rhône-Alpes/ Saint-Joseph,kgCO2e/kWh,0.165,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
244,District heating,,France,Rhône-Alpes/ Saint-Martin-la-Sauveté,kgCO2e/kWh,0.091,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
245,District heating,,France,Rhône-Alpes/ Saint-Maurice-en-Gourgois,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
246,District heating,,France,Rhône-Alpes/ Saint-Régis-du-Coin,kgCO2e/kWh,0.013,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
247,District heating,,France,Rhône-Alpes/ Saint-Symphorien-de-Lay,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
248,District heating,,France,Rhône-Alpes/ Usson-en-Forez,kgCO2e/kWh,0.019,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
249,District heating,,France,Auvergne/ Dunières,kgCO2e/kWh,0.128,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
250,District heating,,France,Auvergne/ Dunières,kgCO2e/kWh,0.128,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
251,District heating,,France,Auvergne/ Langeac,kgCO2e/kWh,0.192,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
252,District heating,,France,Auvergne/ Le Puy-en-Velay,kgCO2e/kWh,0.021,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
253,District heating,,France,Auvergne/ Mazet-Saint-Voy,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
254,District heating,,France,Auvergne/ Pradelles,kgCO2e/kWh,0.028,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
255,District heating,,France,Auvergne/ Saint-Bonnet-Le-Froid,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
256,District heating,,France,Auvergne/ Tence,kgCO2e/kWh,0.012,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
257,District heating,,France,Auvergne/ Yssingeaux,kgCO2e/kWh,0.044,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
258,District heating,,France,Pays-de-la-Loire/ Châteaubriant,kgCO2e/kWh,0.078,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
259,District heating,,France,Pays-de-la-Loire/ Nantes,kgCO2e/kWh,0.042,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
260,District heating,,France,Pays-de-la-Loire/ Nantes,kgCO2e/kWh,0.074,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
261,District heating,,France,Pays-de-la-Loire/ Nantes-Saint-Herblain,kgCO2e/kWh,0.089,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
262,District heating,,France,Pays-de-la-Loire/ Rezé,kgCO2e/kWh,0.162,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
263,District heating,,France,Pays-de-la-Loire/ Saint-Jean-de-Boiseau,kgCO2e/kWh,0.077,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
264,District heating,,France,Pays-de-la-Loire/ Saint-Julien-de-Concelles,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
265,District heating,,France,Pays-de-la-Loire/ Sainte-Luce-sur-Loire,kgCO2e/kWh,0.173,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
266,District heating,,France,Centre/ Amilly,kgCO2e/kWh,0.042,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
267,District heating,,France,Centre/ Fleury-les-Aubrais,kgCO2e/kWh,0.071,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
268,District heating,,France,Centre/ Montargis,kgCO2e/kWh,0.075,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
269,District heating,,France,Centre/ Orléans,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
270,District heating,,France,Centre/ Orléans,kgCO2e/kWh,0.081,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
271,District heating,,France,Centre/ Pithiviers,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
272,District heating,,France,Midi-Pyrénées/ Biars-sur-Cere,kgCO2e/kWh,6.00E-03,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
273,District heating,,France,Midi-Pyrénées/ Cahors,kgCO2e/kWh,0.065,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
274,District heating,,France,Midi-Pyrénées/ Caillac,kgCO2e/kWh,7.00E-03,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
275,District heating,,France,Midi-Pyrénées/ Cajarc,kgCO2e/kWh,6.00E-03,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
276,District heating,,France,Midi-Pyrénées/ Catus,kgCO2e/kWh,0.028,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
277,District heating,,France,Midi-Pyrénées/ Figeac,kgCO2e/kWh,6.00E-03,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
278,District heating,,France,Midi-Pyrénées/ Lacapelle-Marival,kgCO2e/kWh,0.014,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
279,District heating,,France,Midi-Pyrénées/ Les-Quatre-Routes-du-Lot,kgCO2e/kWh,3.00E-03,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
280,District heating,,France,Midi-Pyrénées/ Livernon,kgCO2e/kWh,0.025,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
281,District heating,,France,Midi-Pyrénées/ Nuzejouls,kgCO2e/kWh,0.034,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
282,District heating,,France,Midi-Pyrénées/ Saint-Germain-du-Bel-Air,kgCO2e/kWh,0.012,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
283,District heating,,France,Midi-Pyrénées/ Sousceyrac,kgCO2e/kWh,0.026,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
284,District heating,,France,Midi-Pyrénées/ Thégra,kgCO2e/kWh,8.00E-03,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
285,District heating,,France,Aquitaine/ Le Passage,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
286,District heating,,France,Languedoc-Roussillon/ Mende,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
287,District heating,,France,Languedoc-Roussillon/ Saint-Chely-d’Apcher,kgCO2e/kWh,0.023,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
288,District heating,,France,Pays-de-la-Loire/ Andrezé,kgCO2e/kWh,0.253,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
289,District heating,,France,Pays-de-la-Loire/ Angers,kgCO2e/kWh,0.052,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
290,District heating,,France,Pays-de-la-Loire/ Angers,kgCO2e/kWh,0.084,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
291,District heating,,France,Pays-de-la-Loire/ Angers,kgCO2e/kWh,0.012,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
292,District heating,,France,Pays-de-la-Loire/ Angers,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
293,District heating,,France,Pays-de-la-Loire/ Angers,kgCO2e/kWh,0.202,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
294,District heating,,France,Pays-de-la-Loire/ Ecouflant,kgCO2e/kWh,0.071,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
295,District heating,,France,Pays-de-la-Loire/ Saumur,kgCO2e/kWh,0.052,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
296,District heating,,France,Provence-Alpes-Côte d'Azur/ Embrun,kgCO2e/kWh,0.011,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
297,District heating,,France,Provence-Alpes-Côte d'Azur/ Embrun,kgCO2e/kWh,5.00E-03,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
298,District heating,,France,Provence-Alpes-Côte d'Azur/ Tallard,kgCO2e/kWh,0.242,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
299,District heating,,France,Basse-Normandie/ Cherbourg-Octeville,kgCO2e/kWh,0.151,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
300,District heating,,France,Basse-Normandie/ Cherbourg-Octeville,kgCO2e/kWh,0.019,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
301,District heating,,France,Basse-Normandie/ Le Teilleul,kgCO2e/kWh,0.051,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
302,District heating,,France,Champagne-Ardenne/ Epernay,kgCO2e/kWh,0.277,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
303,District heating,,France,Champagne-Ardenne/ Reims,kgCO2e/kWh,0.115,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
304,District heating,,France,Champagne-Ardenne/ Reims,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
305,District heating,,France,Champagne-Ardenne/ Reims,kgCO2e/kWh,0.239,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
306,District heating,,France,Champagne-Ardenne/ Vitry-le-François,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
307,District heating,,France,Champagne-Ardenne/ Bourmont,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
